Filename	label	start	duration	intensity	cog	sdev	skew	kurt	
04_tiger.wav	f	0.7851295573246793	0.016429187160894476*1000'	63.697176969352874	2142.0258977566923	1550.470952013917	2.697976931801015	12.203327723744001
05_house.wav	v	0.9237801141716419	0.03535157553129309*1000'	60.698161912105796	1590.1645222566897	1911.0690714502275	1.6985718660902578	1.8024391879145254
11_this.wav	s	0.4784215463612126	0.018662980152068742*1000'	62.291594299581355	6327.676336455961	1098.2379721591299	-1.9418966320670792	8.037405230222797
12_sun-or-day.wav	z	0.5327260814680583	0.028837546937675262*1000'	59.784637867037155	837.5365807530945	1532.9709647730053	3.151587256433812	8.47748950897002
15_west.wav	C	0.5925332733740949	0.02269821910386738*1000'	70.28610762325543	5592.059583080337	1062.534796210855	-0.9342324749951268	14.507719980434576
18_drink.wav	x	0.7053942097523613	0.016767859001491803*1000'	47.11787833272286	2323.1242002920008	2055.197587762638	0.8511459240436778	-0.6454682630853985
23_river.wav	x	0.6233153277697565	0.016775064785334415*1000'	53.153989619306685	2802.1522675352867	2300.4050506971503	0.6266326532520109	-0.6171446152459121
36_clever.wav	C	0.4409779716519126	0.020637364924913026*1000'	58.81121625007566	4359.981151777858	1970.387623689019	0.034660169216673295	2.839312258346843
37_after.wav	x	0.5474508739014516	0.01624183678098956*1000'	54.601381826308376	1321.5460503986621	640.3718224162967	5.085934323922133	72.04672458944484
38_shy.wav	C	0.6015334174897718	0.015550081532109794*1000'	59.28194983384912	4717.659357257427	1058.60938059863	2.3509620425453286	35.480239775175285
47_dark_room_fog_dance.wav	v	1.114081732903494	0.0253891642420907*1000'	43.982116511355855	2825.526945928168	2089.7133191215325	0.8720964801363291	0.6815815893118753
47_dark_room_fog_dance.wav	v	2.8248973198756255	0.016780319194627413*1000'	40.40450566189657	3182.935482228433	2100.0696307347202	0.6820890831816713	0.007082724604447144
47_dark_room_fog_dance.wav	v	4.466097260681179	0.020673353247781634*1000'	49.80930616926434	1510.2026535808557	2096.2580582198148	1.9164973248588906	2.3928098976637404
47_dark_room_fog_dance.wav	v	6.069404656780438	0.01855811670468821*1000'	48.60942313601863	3453.73560799424	2194.260554718057	0.5452984362002843	-0.5887430031973686
